Start	End	Feature	Attribute	Value
			locus_tag	CyHV3_ORF112
			db_xref	GeneID:11266442
205019	205861	CDS		
			product	protein ORF112
			prot_desc	contains a double-stranded nucleic acid-binding domain (helix-turn-helix)
			protein_id	ref|YP_001096147.1|
205931	207235	gene		
			locus_tag	CyHV3_ORF113
			db_xref	GeneID:11266443
205931	207127	CDS		
			product	protein ORF113
			protein_id	ref|YP_001096148.1|
207230	207235	regulatory		
			gene	-
			note	ORF110, ORF111, ORF112, ORF113
			regulatory_class	polyA_signal_sequence
208199	207270	gene		
			locus_tag	CyHV3_ORF114
			db_xref	GeneID:11266444
207275	207270	regulatory		
			regulatory_class	polyA_signal_sequence
208199	207306	CDS		
			product	membrane protein ORF114
			prot_desc	type 3 membrane protein; 8 transmembrane domains; similar to Danio rerio LOC569866
			protein_id	ref|YP_001096149.1|
208227	210567	gene		
			locus_tag	CyHV3_ORF115
			db_xref	GeneID:11266445
208227	210566	CDS		
			product	membrane protein ORF115
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096150.1|
210562	210567	regulatory		
			regulatory_class	polyA_signal_sequence
211960	210605	gene		
			locus_tag	CyHV3_ORF117
			db_xref	GeneID:11266447
211504	210605	gene		
			locus_tag	CyHV3_ORF116
			db_xref	GeneID:11266446
210610	210605	regulatory		
			gene	-
			note	ORF116, ORF117
			regulatory_class	polyA_signal_sequence
211504	210650	CDS		
			product	membrane protein ORF116
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096151.1|
211960	211553	CDS		
			product	protein ORF117
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096152.1|
211985	215534	gene		
			locus_tag	CyHV3_ORF118
			db_xref	GeneID:11266448
211985	212998	CDS		
			product	protein ORF118
			protein_id	ref|YP_001096153.1|
213012	215534	gene		
			locus_tag	CyHV3_ORF119
			db_xref	GeneID:11266449
213084	213437	CDS		
			product	protein ORF119
			prot_desc	contains a signal peptide
			protein_id	ref|YP_001096154.2|
213535	215534	gene		
			locus_tag	CyHV3_ORF120
			db_xref	GeneID:11266450
213535	214323	CDS		
			product	protein ORF120
			protein_id	ref|YP_001096155.1|
214501	215534	gene		
			locus_tag	CyHV3_ORF121
			db_xref	GeneID:11266451
214501	215400	CDS		
			product	protein ORF121
			protein_id	ref|YP_001096156.1|
215529	215534	regulatory		
			gene	-
			note	ORF118, ORF119, ORF120, ORF121
			regulatory_class	polyA_signal_sequence
215654	217484	gene		
			locus_tag	CyHV3_ORF122
			db_xref	GeneID:11266452
215654	216547	CDS		
			product	protein ORF122
			protein_id	ref|YP_001096157.1|
216590	217484	gene		
			locus_tag	CyHV3_ORF123
			db_xref	GeneID:11266453
216590	217411	CDS		
			product	deoxyuridine triphosphatase
			prot_desc	involved in nucleotide metabolism
			protein_id	ref|YP_001096158.1|
217479	217484	regulatory		
			gene	-
			note	ORF122, ORF123
			regulatory_class	polyA_signal_sequence
217559	218506	gene		
			locus_tag	CyHV3_ORF124
			db_xref	GeneID:11266454
217559	218404	CDS		
			product	membrane protein ORF124
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096159.1|
218501	218506	regulatory		
			regulatory_class	polyA_signal_sequence
218607	220816	gene		
			locus_tag	CyHV3_ORF125
			db_xref	GeneID:11266455
218607	219173	CDS		
			product	protein ORF125
			prot_desc	contains a signal peptide
			protein_id	ref|YP_001096160.1|
219317	220816	gene		
			locus_tag	CyHV3_ORF126
			db_xref	GeneID:11266456
219317	220138	CDS		
			product	membrane protein ORF126
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096161.1|
220216	220816	gene		
			locus_tag	CyHV3_ORF127
			db_xref	GeneID:11266457
220216	220776	CDS		
			product	protein ORF127
			prot_desc	contains a signal peptide
			protein_id	ref|YP_001096162.1|
220811	220816	regulatory		
			gene	-
			note	ORF125, ORF126, ORF127
			regulatory_class	polyA_signal_sequence
223687	220848	gene		
			locus_tag	CyHV3_ORF129
			db_xref	GeneID:11266459
222291	220848	gene		
			locus_tag	CyHV3_ORF128
			db_xref	GeneID:11266458
220853	220848	regulatory		
			gene	-
			note	ORF128, ORF129
			regulatory_class	polyA_signal_sequence
222291	220933	CDS		
			product	protein ORF128
			prot_desc	similar to SPRY and TRIM proteins
			protein_id	ref|YP_001096163.1|
			note	RING family
223687	222419	CDS		
			product	protein ORF129
			protein_id	ref|YP_001096164.1|
			note	possibly ORF2 family
226993	223766	gene		
			locus_tag	CyHV3_ORF131
			db_xref	GeneID:11266461
225366	223766	gene		
			locus_tag	CyHV3_ORF130
			db_xref	GeneID:11266460
223771	223766	regulatory		
			gene	-
			note	ORF130, ORF131
			regulatory_class	polyA_signal_sequence
225366	223870	CDS		
			product	protein ORF130
			protein_id	ref|YP_001096165.1|
			note	ORF2 family
226993	226921	CDS		
226792	226508			
226416	225485			
			product	membrane protein ORF131
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096166.2|
			note	exons 1 and 2 are similar to exons 1 and 2 of Danio rerio LOC562542
227956	227387	gene		
			locus_tag	CyHV3_ORF132
			db_xref	GeneID:11266462
227392	227387	regulatory		
			regulatory_class	polyA_signal_sequence
227956	227444	CDS		
			product	membrane protein ORF132
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096167.1|
228226	229255	gene		
			locus_tag	CyHV3_ORF133
			db_xref	GeneID:11266463
228226	229212	CDS		
			product	protein ORF133
			protein_id	ref|YP_001096168.1|
229885	229228	gene		
			locus_tag	CyHV3_ORF134
			db_xref	GeneID:11266464
229233	229228	regulatory		
			regulatory_class	polyA_signal_sequence
229250	229255	regulatory		
			regulatory_class	polyA_signal_sequence
229885	229514	CDS		
229429	229262			
			product	interleukin-10
			prot_desc	contains a signal peptide; involved in immune regulation
			protein_id	ref|YP_001096169.1|
230127	231265	gene		
			locus_tag	CyHV3_ORF135
			db_xref	GeneID:11266465
230127	231221	CDS		
			product	protein ORF135
			protein_id	ref|YP_001096170.1|
			note	possibly ORF2 family
231260	231265	regulatory		
			regulatory_class	polyA_signal_sequence
231339	231825	gene		
			locus_tag	CyHV3_ORF136
			db_xref	GeneID:11266466
231339	231800	CDS		
			product	membrane protein ORF136
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096171.1|
231820	231825	regulatory		
			regulatory_class	polyA_signal_sequence
235115	231948	gene		
			locus_tag	CyHV3_ORF138
			db_xref	GeneID:11266468
233823	231948	gene		
			locus_tag	CyHV3_ORF137
			db_xref	GeneID:11266467
231953	231948	regulatory		
			gene	-
			note	ORF137, ORF138
			regulatory_class	polyA_signal_sequence
233823	232003	CDS		
			product	protein ORF137
			protein_id	ref|YP_001096172.1|
			note	ORF22 family
235115	233937	CDS		
			product	membrane protein ORF138
			prot_desc	type 1 membrane protein
			protein_id	ref|YP_001096173.1|
242510	235263	gene		
			locus_tag	CyHV3_ORF139
			db_xref	GeneID:11266469
235268	235263	regulatory		
			regulatory_class	polyA_signal_sequence
242510	238362	CDS		
238291	235361			
			product	membrane protein ORF139
			prot_desc	type 1 membrane protein; similar to poxvirus B22R proteins
			protein_id	ref|YP_001096174.1|
242781	243521	gene		
			locus_tag	CyHV3_ORF140
			db_xref	GeneID:11266470
242781	243482	CDS		
			product	thymidylate kinase
			prot_desc	involved in nucleotide metabolism
			protein_id	ref|YP_001096175.1|
243516	243521	regulatory		
			regulatory_class	polyA_signal_sequence
246033	243551	gene		
			locus_tag	CyHV3_ORF141
			db_xref	GeneID:11266471
243556	243551	regulatory		
			regulatory_class	polyA_signal_sequence
246033	243613	CDS		
			product	ribonucleotide reductase subunit 1
			prot_desc	involved in nucleotide metabolism
			protein_id	ref|YP_001096176.1|
246778	246191	gene		
			locus_tag	CyHV3_ORF142
			db_xref	GeneID:11266472
246196	246191	regulatory		
			regulatory_class	polyA_signal_sequence
246778	246266	CDS		
			product	protein ORF142
			protein_id	ref|YP_001096177.1|
248934	246965	gene		
			locus_tag	CyHV3_ORF144
			db_xref	GeneID:11266474
247975	246965	gene		
			locus_tag	CyHV3_ORF143
			db_xref	GeneID:11266473
246970	246965	regulatory		
			gene	-
			note	ORF143, ORF144
			regulatory_class	polyA_signal_sequence
247975	247040	CDS		
			product	protein ORF143
			protein_id	ref|YP_001096178.1|
248934	248059	CDS		
			product	protein ORF144
			protein_id	ref|YP_001096179.1|
			note	RING family
251624	249023	gene		
			locus_tag	CyHV3_ORF145
			db_xref	GeneID:11266475
249028	249023	regulatory		
			regulatory_class	polyA_signal_sequence
251624	249114	CDS		
			product	protein ORF145
			protein_id	ref|YP_001096180.1|
255779	251863	gene		
			locus_tag	CyHV3_ORF148
			db_xref	GeneID:11266478
253810	251863	gene		
			locus_tag	CyHV3_ORF147
			db_xref	GeneID:11266477
252909	251863	gene		
			locus_tag	CyHV3_ORF146
			db_xref	GeneID:11266476
251868	251863	regulatory		
			gene	-
			note	ORF146, ORF147, ORF148
			regulatory_class	polyA_signal_sequence
252909	251911	CDS		
			product	membrane protein ORF146
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_001096181.1|
253810	253031	CDS		
			product	protein ORF147
			prot_desc	contains a signal peptide
			protein_id	ref|YP_001096182.1|
255779	253956	CDS		
			product	membrane protein ORF148
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_001096183.1|
			note	ORF25 family
257996	255870	gene		
			locus_tag	CyHV3_ORF149
			db_xref	GeneID:11266479
255875	255870	regulatory		
			regulatory_class	polyA_signal_sequence
257996	255936	CDS		
			product	membrane protein ORF149
			prot_desc	type 1 membrane protein; contains an Ig domain
			protein_id	ref|YP_001096184.1|
			note	ORF25 family
258345	260343	gene		
			locus_tag	CyHV3_ORF150
			db_xref	GeneID:11266480
258345	260231	CDS		
			product	protein ORF150
			protein_id	ref|YP_001096185.1|
			note	RING family
260338	260343	regulatory		
			regulatory_class	polyA_signal_sequence
260552	261569	gene		
			locus_tag	CyHV3_ORF151
			db_xref	GeneID:11266481
260552	261508	CDS		
			product	protein ORF151
			protein_id	ref|YP_001096186.1|
261564	261569	regulatory		
			regulatory_class	polyA_signal_sequence
261832	263518	gene		
			locus_tag	CyHV3_ORF152
			db_xref	GeneID:11266482
261832	263451	CDS		
			product	protein ORF152
			protein_id	ref|YP_001096187.1|
263513	263518	regulatory		
			regulatory_class	polyA_signal_sequence
263756	264457	gene		
			locus_tag	CyHV3_ORF153
			db_xref	GeneID:11266483
263756	264427	CDS		
			product	membrane protein ORF153
			prot_desc	type 3 membrane protein; 4 transmembrane domains
			protein_id	ref|YP_001096188.1|
			note	ORF153 family
264452	264457	regulatory		
			regulatory_class	polyA_signal_sequence
265162	264628	gene		
			locus_tag	CyHV3_ORF154
			db_xref	GeneID:11266484
264633	264628	regulatory		
			regulatory_class	polyA_signal_sequence
265162	264821	CDS		
			product	protein ORF154
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096189.1|
270469	265333	gene		
			locus_tag	CyHV3_ORF155
			db_xref	GeneID:11266485
265338	265333	regulatory		
			regulatory_class	polyA_signal_sequence
270469	265938	CDS		
265825	265486			
			product	protein ORF155
			protein_id	ref|YP_001096190.1|
272424	270773	gene		
			locus_tag	CyHV3_ORF156
			db_xref	GeneID:11266486
270778	270773	regulatory		
			regulatory_class	polyA_signal_sequence
272424	270919	CDS		
			product	protein ORF156
			protein_id	ref|YP_001096191.1|
272678	295146	repeat_region		
			rpt_type	direct
			rpt_type	terminal
272734	272826	repeat_region		
			note	telomere-like
			rpt_type	direct
			rpt_type	tandem
273103	273922	gene		
			locus_tag	CyHV3_ORF1_2
			db_xref	GeneID:11266487
273103	273876	CDS		
			product	protein ORF1
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096192.1|
273917	273922	regulatory		
			regulatory_class	polyA_signal_sequence
276180	274250	gene		
			locus_tag	CyHV3_ORF2_2
			db_xref	GeneID:11266488
274255	274250	regulatory		
			regulatory_class	polyA_signal_sequence
276180	274312	CDS		
			product	protein ORF2
			protein_id	ref|YP_001096193.1|
			note	ORF2 family
276976	279685	gene		
			locus_tag	CyHV3_ORF3_2
			db_xref	GeneID:11266489
276976	279591	CDS		
			product	protein ORF3
			protein_id	ref|YP_001096194.1|
			note	possibly ORF2 family
279680	279685	regulatory		
			regulatory_class	polyA_signal_sequence
280063	281096	gene		
			locus_tag	CyHV3_ORF4_2
			db_xref	GeneID:11266490
280063	281004	CDS		
			product	protein ORF4
			prot_desc	contains a signal peptide; possibly involved in immune regulation
			protein_id	ref|YP_001096195.1|
			note	TNFR family
281091	281096	regulatory		
			regulatory_class	polyA_signal_sequence
281283	283706	gene		
			locus_tag	CyHV3_ORF5_2
			db_xref	GeneID:11266491
281283	282626	CDS		
			product	protein ORF5
			prot_desc	contains a potential transmembrane domain
			protein_id	ref|YP_001096196.1|
283701	283706	regulatory		
			regulatory_class	polyA_signal_sequence
286431	283999	gene		
			locus_tag	CyHV3_ORF6_2
			db_xref	GeneID:11266492
284004	283999	regulatory		
			regulatory_class	polyA_signal_sequence
286431	284652	CDS		
284565	284168			
			product	protein ORF6
			protein_id	ref|YP_001096197.2|
291395	287364	gene		
			locus_tag	CyHV3_ORF8_2
			db_xref	GeneID:11266494
290174	287364	gene		
			locus_tag	CyHV3_ORF7_2
			db_xref	GeneID:11266493
287369	287364	regulatory		
			gene	-
			note	ORF7, ORF8
			regulatory_class	polyA_signal_sequence
290174	288893	CDS		
288685	287541			
			product	protein ORF7
			protein_id	ref|YP_001096198.1|
291395	290526	CDS		
			product	protein ORF8
			protein_id	ref|YP_001096199.1|
294546	295073	repeat_region		
			note	telomere-like
			rpt_type	direct
			rpt_type	dispersed
			rpt_type	tandem
